,date,v0,kappa,theta,zeta,rho
0,2023-04-11,0.0010000000000004396,0.002814679605104033,1.199999999999999,0.01,-0.999999999999999
0,2023-04-12,0.7102664827048921,0.18554109510591782,1.2,0.010000000000000009,-1.0
0,2023-04-13,1.1961699150822194,0.07715194827403152,0.6900072664118795,0.05050194965120773,-0.8961220239786261
0,2023-04-14,0.0010000000000000009,1.2034601381578347,1.2,0.010000000000460418,-1.0
0,2023-04-17,1.199061784324833,0.9108177749970567,1.1854539157617618,0.8180951854777158,-0.9673008072868606
0,2023-04-18,0.006076671733593039,2.4158278251229914,0.40541499850546714,0.022700871032209802,-0.9999774654254066
0,2023-04-19,0.6693341252444734,5.846722059505239,0.5788291575293353,1.5098706102876698,-0.9804550497171269
0,2023-04-20,0.001000091443582612,0.0010007798985069668,0.8430174197779409,3.9910579676791795,0.9999822007238987
0,2023-04-21,0.010980866483410737,4.013778754542967,1.2,0.010085862806622912,0.9998600421608543
0,2023-04-24,1.2,0.001000000000000334,0.508725220806053,0.009999999999999787,-0.9483363243259872
0,2023-04-25,0.0010000000693694542,9.983807522316212,1.1995129317131645,0.010297932186942063,-0.9958141339501
0,2023-04-26,0.6596007196622616,0.551589843221708,0.0029613634323351784,3.865055339724459,0.8352662333688644
0,2023-04-27,0.002340804140283978,5.239331744520388,1.1999500803110095,3.996811401333654,-0.9983974113457238
0,2023-04-28,0.4004822087391747,0.4654978001184315,0.8851672643236179,3.884643334725383,-0.1482000961680416
0,2023-05-01,1.2,0.0009999999999998899,1.2,0.009999999999999787,-1.0
0,2023-05-02,0.001,6.652989766640464,0.0010000000000000009,4.0,-1.0
0,2023-05-03,0.0019480539045122517,6.078595100555985,0.25703227035244863,3.9968450274975895,-0.9996484468253433
0,2023-05-04,0.01469657872252663,2.2506286466326038,0.546802344519525,3.840446670011439,0.947086621908782
0,2023-05-05,1.1999999999979545,0.0010000000000000009,0.32696844340380143,4.0,1.0
0,2023-05-08,0.19391830715961267,0.14045902758905096,0.9944105787039199,3.1196076628308487,0.03405897153658062
0,2023-05-09,0.0010000000000141385,9.113072565188629,1.0332216833781818,0.7357418030939028,-0.9999999999999997
0,2023-05-10,0.4209890077289137,2.6013905386605387,0.9859804036006246,3.37095518217973,-0.909784459923357
0,2023-05-11,1.1998525864759717,0.990920995519297,1.1997106884444328,0.025104495452084413,-0.9996058167058558
0,2023-05-12,0.6290550863239497,0.0009999999999998899,1.2,4.0,1.0
0,2023-05-15,0.01480783271548703,5.372729624023428,0.04044062198928483,2.9900246718775736,-0.778003554295642
0,2023-05-16,0.5927207157991637,6.42295428275911,0.5781042069487117,0.1897877693630909,-0.32186011024135375
0,2023-05-17,0.0010000000000000148,5.803097290600345,0.1774136468431441,1.6123815399277324,-1.0
0,2023-05-18,0.0010000037133431163,0.001000087069317302,0.27175483289135915,3.9697748586584685,0.9617877186938136
0,2023-05-19,0.0009999999999998899,0.0010000000000000009,1.2,0.009999999999999787,-0.9851418235157275
0,2023-05-22,0.9581293284016066,0.022599283887690044,0.9866082182163792,0.01519549528658403,-0.993810196913793
0,2023-05-23,0.13026223127910916,9.986368622089328,0.15261040878848076,3.175809531860277,-0.5573155215599718
0,2023-05-24,0.3363433713115146,0.2518515436674923,1.1997853206034363,3.999934292515954,-0.999082410249352
0,2023-05-25,0.0010000000115099328,0.9982005147327899,1.1463219627622252,0.009999999999999787,1.0
0,2023-05-26,0.2539268570044683,3.862357642115955,1.0700695056855896,3.5016857583265346,0.5519097661178735
0,2023-05-30,0.9772405744194932,1.3425270343430082,0.008233466067390276,1.1864610266813713,-0.7796026752811058
0,2023-05-31,0.8730033573628186,5.201664044755145,0.5229246422483341,2.22038806352325,-0.3946498066547678
0,2023-06-01,0.14279876486034682,1.8157508241167197,0.5898168577612426,3.219170675552154,-0.20936965452434628
0,2023-06-02,0.12032036180351637,1.7564322647388315,1.1766084968819905,1.7138447490090205,0.9999999251196399
0,2023-06-05,0.12405000299703044,1.8511525813770449,0.7947896939322305,0.033124372972476786,-0.9999151392426319
