,date,v0,kappa,theta,zeta,rho
0,2023-04-11,0.37647337101385275,6.7762218783314605,1.0002813463610822,0.8226222212576301,-0.4085971027295869
0,2023-04-12,1.2,2.0749925218875074,0.0010000000000000009,4.0,1.0
0,2023-04-13,0.0010000000000001054,0.002457708159395316,1.1999999999999986,0.010000000000000056,-0.9999999999999982
0,2023-04-14,0.15800635375666616,2.06683457372953,1.199917008164923,3.666151886249238,-0.9997981854707771
0,2023-04-17,0.0010000000000000009,3.2855193438152903,0.15606587100502847,0.018320069969447593,-0.9983536957387168
0,2023-04-18,0.2954000654093917,1.3911736783822424,1.0941174417374377,3.4969762438071132,-0.8836797346597295
0,2023-04-19,1.199999965073567,0.011909495517770078,0.7644863396072273,0.04854393270809976,-0.9806797378750881
0,2023-04-20,0.001,4.304272517358515,1.2,1.6648396286693818,-1.0
0,2023-04-21,0.8145985916486832,4.096534380256458,0.7734939422172776,1.4097145363150125,0.8060837514570195
0,2023-04-24,1.1195435464597525,8.12094578527592,0.17718131525526584,2.9428841296000625,0.3289123313856789
0,2023-04-25,0.14710177982518452,5.418901160367011,1.002067534178663,3.6429881805752116,-0.9998568723838086
0,2023-04-26,0.17164507867149992,0.05405226925851257,0.6608798844461017,2.7367097674829095,-0.9767406718613977
0,2023-04-27,0.0010000037957740371,1.2011185129345856,1.1999996202566514,3.9999999999649742,-0.9999993522739618
0,2023-04-28,0.0020994036586296505,0.001000004137955339,1.0864576636243632,3.9999999964988984,-0.2631500935865831
0,2023-05-01,0.03293059645675382,1.8386381877233122,0.6567348896544757,0.016856030884220878,-0.9990038717112028
0,2023-05-02,0.2591408273883853,3.7415265635024975,0.7635323505882488,2.667688014125166,-0.6198375741302127
0,2023-05-03,0.05454315702357251,4.074169619387769,1.1999886746989548,3.999999440574454,-0.9999999971694898
0,2023-05-04,0.28080302825758446,0.42244865101715645,0.36954253444031465,2.8260888851192405,-0.5451107405869885
0,2023-05-05,0.006872147987385273,1.597165776627625,0.08693476325545203,0.13746136406819665,0.9916627041043058
0,2023-05-08,0.0016073325543438566,0.00938470373861734,0.09853670085368221,3.998172281744499,-0.9938200854740793
0,2023-05-09,0.13581240195893518,1.9059021624324952,0.08974869648781907,3.4430820476606967,-0.9997189626446962
0,2023-05-10,0.04741313929013207,1.5951283570910337,1.1999999646973456,3.99999999987328,-0.9985344099719857
0,2023-05-11,0.0010000000000000106,3.809866438976907,0.9463678059764843,3.4394473492367053,-0.9989608621411122
0,2023-05-12,0.2698336310966981,7.067167360669528,0.7538914161004716,1.395315854939146,-0.16833786250847055
0,2023-05-15,0.5646358109520109,0.22674330913749932,0.7963600242571205,3.4536766476191607,-0.6937124831107592
0,2023-05-16,0.00186107734218665,9.999263581630462,1.1999999999999995,0.47349539018371894,-0.997161320082677
0,2023-05-17,0.9217579158314764,1.2498199444108637,0.8334306589429712,3.9558766306827833,-0.3935224000158186
0,2023-05-18,0.3518369955695457,5.475859662217062,0.1625269478123372,2.476435104184325,-0.8026139259287796
0,2023-05-19,0.0801476920178892,0.0010000180890069213,1.1999999943671669,3.999999953650519,0.9981203346132214
0,2023-05-22,1.1967078613959123,0.06329204254679732,1.1998968554177176,0.07452689169441112,-0.08208506098775196
0,2023-05-23,0.0044273263767879495,1.8398097311638615,0.7692540433285026,0.014271573981824714,-0.9986316358645948
0,2023-05-24,1.017237180416464,4.909551409158581,0.41583666401372993,1.7405484351204206,-0.9999990130707294
0,2023-05-25,0.2751186881309741,0.1743386863484715,1.2,0.014158592593862984,-0.9999708803536668
0,2023-05-26,0.9630018473081478,0.8514333916021075,0.41757697337478045,1.1963614757845,-0.7831760526336218
0,2023-05-30,0.18870711102699142,2.280655592651108,0.26354798221465786,3.75687713987319,0.5779368524421649
0,2023-05-31,0.39292267207847364,2.7738321621910926,0.4928192500872509,2.1879263943561855,-0.7905552445467942
0,2023-06-01,0.018083874126884756,3.8906376278642316,0.6293695494214216,1.3389394013282487,-0.9979124453406658
0,2023-06-02,0.0011517503408565455,3.4944463410948314,0.43059272925341485,0.010007647690613988,0.9886540065401694
0,2023-06-05,0.0010328666056012015,0.1290741046951717,0.8250487139324368,0.009999999999999995,1.0
0,2023-06-06,0.9910551941524545,8.490385439626403,1.199999999999735,3.7921805514624976,-0.8380391380741654
0,2023-06-07,0.15519324061303139,1.7205329559205236,1.1999997405087761,3.8140326802885447,-0.9985568768153994
0,2023-06-08,0.0010000000000000009,3.5676301251953166,0.08465285478308364,0.010000000337043513,0.9999999998659305
0,2023-06-09,0.028383350341264168,5.029177084718208,0.07572979641345168,0.5302814466803015,0.999990484799625
0,2023-06-12,0.04411384945630868,0.001131316911404126,0.07141321630618169,3.214987900734861,-0.2246751339386501
0,2023-06-13,0.0010000000000000009,10.0,0.0010000000000000009,0.010000000000000009,1.0
0,2023-06-14,0.001000014006169354,0.0010917386831538665,0.001000006196776754,3.998512027211676,-0.6249959655608783
0,2023-06-15,0.0010000002947166198,0.0010000630779608576,0.2401714909658177,3.999999991182693,0.9999184728932755
0,2023-06-16,0.03521282433907837,1.7781466185852126,0.16507368397499464,0.22436185671729117,0.939013974104531
0,2023-06-20,0.5337299181666016,2.4331202490655595,0.7855042070457858,1.1409296082595535,-0.2625405438444013
0,2023-06-21,0.027880322707841788,7.223719300884256,0.21975572439863766,2.9318215933993943,-0.7956889624601413
0,2023-06-22,0.005347145340929261,2.91624350442781,0.3506259056234658,2.3417373285092635,-0.9999872062487842
0,2023-06-23,0.29646874928184136,3.1925619841907356,0.6658978139879951,1.3245030671553344,0.9482419579268884
0,2023-06-26,0.12390868313147312,4.009232315207312,0.20519126484104383,1.6630103356199404,-0.9995726746247803
0,2023-06-27,0.008680851977289026,6.257578622168302,0.19535513983255368,3.359644401700078,-0.9996916972176647
0,2023-06-28,0.7451010716371272,5.695224235873921,0.7725242270881577,1.7554322478062243,-0.9218210487647294
0,2023-06-29,0.0010000000000488156,4.030671812595344,0.7023067194125447,2.350335764553134,-0.9998463352980236
0,2023-06-30,0.544252086269225,0.0010000000200147685,0.5376265218737004,3.999999999971045,0.9999999999891046
0,2023-07-03,1.1863961891351065,4.078902752453125,0.41203636821107925,3.277267587251293,-0.9420018942896144
0,2023-07-05,0.25604020511740044,5.600258743886994,0.0010000000000000009,0.010000000000000002,-1.0
0,2023-07-06,0.0010000027446687534,0.0023841719030271865,0.5633127368082942,3.9999046255860256,0.38517117705727016
0,2023-07-07,0.9643391007161074,5.757663600746159,0.49517307613160805,1.3793313570506782,0.704769071592869
0,2023-07-10,0.9785297501522681,7.4110023799294655,0.3526542037399761,3.1088384615080007,-0.5801327344706431
0,2023-07-11,0.11086967895978256,7.831200451335841,0.031835073425315975,2.5356840633981705,-0.9364713965121013
0,2023-07-12,0.5590203634947127,5.1129203764461915,0.22467278150234052,2.4509330213598135,0.423669968867179
