,ticker,maturity,Weight,price,days since last trade,strike,S
0,O:AAPL231222C00050000,0.0027397260273972603,0.13513513513513514,144.1,1,50.0,144.1
1,O:AAPL231222C00150000,0.0027397260273972603,0.1657754010695187,44.1323,1,150.0,44.1
2,O:AAPL231222C00160000,0.0027397260273972603,0.05701754385964912,34.4208,1,160.0,36.76
3,O:AAPL231222C00165000,0.0027397260273972603,0.07929515418502203,29.2072,1,165.0,29.95
4,O:AAPL231222C00170000,0.0027397260273972603,0.1590749824807288,25.0562,1,170.0,27.05
5,O:AAPL231222C00172500,0.0027397260273972603,0.014245014245014245,21.2,2,172.5,21.2
6,O:AAPL231222C00175000,0.0027397260273972603,0.09346991037131883,19.4478,1,175.0,20.3
7,O:AAPL231222C00177500,0.0027397260273972603,0.047337278106508875,17.6888,1,177.5,19.62
8,O:AAPL231222C00180000,0.0027397260273972603,0.027780014493920605,14.3798,1,180.0,17.04
9,O:AAPL231222C00182500,0.0027397260273972603,0.14705882352941177,11.9618,1,182.5,13.57
10,O:AAPL231222C00185000,0.0027397260273972603,0.3631759008308526,9.8974,1,185.0,11.45
11,O:AAPL231222C00187500,0.0027397260273972603,0.02992957746478873,7.2064,1,187.5,9.49
12,O:AAPL231222C00190000,0.0027397260273972603,0.08266657922350472,4.6723,1,190.0,5.9
13,O:AAPL231222C00192500,0.0027397260273972603,0.21739476406461367,2.207,1,192.5,3.84
14,O:AAPL231222C00195000,0.0027397260273972603,0.25897717290532635,0.7428,1,195.0,1.65
15,O:AAPL231222C00197500,0.0027397260273972603,0.20345302895085235,0.226,1,197.5,0.42
16,O:AAPL231222C00200000,0.0027397260273972603,0.1469275074977099,0.0521,1,200.0,0.06
17,O:AAPL231222C00202500,0.0027397260273972603,0.06247277705183249,0.015,1,202.5,0.03
18,O:AAPL231222C00205000,0.0027397260273972603,0.02389170993324585,0.0101,1,205.0,0.01
19,O:AAPL231222C00207500,0.0027397260273972603,0.008589985334171381,0.01,1,207.5,0.01
20,O:AAPL231222C00210000,0.0027397260273972603,0.03326417704011065,0.01,1,210.0,0.01
21,O:AAPL231222C00212500,0.0027397260273972603,0.031180400890868598,0.01,2,212.5,0.01
22,O:AAPL231222C00215000,0.0027397260273972603,0.0010204081632653062,0.01,3,215.0,0.01
