,ticker,maturity,Weight,price,days since last trade,strike,S
0,O:AAPL231006C00050000,0.005479452054794521,0.1746031746031746,122.3682,1,50.0,122.05
1,O:AAPL231006C00060000,0.005479452054794521,0.19148936170212766,112.55,1,60.0,112.1
2,O:AAPL231006C00065000,0.005479452054794521,0.12903225806451613,107.625,2,65.0,107.15
3,O:AAPL231006C00140000,0.005479452054794521,0.010638297872340425,32.6,1,140.0,32.6
4,O:AAPL231006C00145000,0.005479452054794521,0.011111111111111112,28.23,1,145.0,28.23
5,O:AAPL231006C00149000,0.005479452054794521,0.5384615384615384,24.15,1,149.0,24.25
6,O:AAPL231006C00150000,0.005479452054794521,0.156,23.4196,1,150.0,22.35
7,O:AAPL231006C00152500,0.005479452054794521,0.002466091245376079,19.7,2,152.5,19.7
8,O:AAPL231006C00155000,0.005479452054794521,0.005246589716684155,17.967,1,155.0,17.2
9,O:AAPL231006C00157500,0.005479452054794521,0.017857142857142856,15.372,1,157.5,15.4
10,O:AAPL231006C00160000,0.005479452054794521,0.05081081081081081,12.883,1,160.0,11.75
11,O:AAPL231006C00162500,0.005479452054794521,0.18016928657799275,10.8664,1,162.5,10.2
12,O:AAPL231006C00165000,0.005479452054794521,0.0831758034026465,7.981,1,165.0,6.8
13,O:AAPL231006C00167500,0.005479452054794521,0.057997840505938605,5.6402,1,167.5,4.55
14,O:AAPL231006C00170000,0.005479452054794521,0.07918074324324324,3.498,1,170.0,2.6
15,O:AAPL231006C00172500,0.005479452054794521,0.17831285118052242,1.7635,1,172.5,1.13
16,O:AAPL231006C00175000,0.005479452054794521,0.15498998204674788,0.6422,1,175.0,0.35
17,O:AAPL231006C00177500,0.005479452054794521,0.08128846438666536,0.161,1,177.5,0.09
18,O:AAPL231006C00180000,0.005479452054794521,0.12542941127861265,0.0387,1,180.0,0.03
19,O:AAPL231006C00182500,0.005479452054794521,0.05264054514480409,0.0147,1,182.5,0.01
20,O:AAPL231006C00185000,0.005479452054794521,0.016015492110014917,0.01,1,185.0,0.01
21,O:AAPL231006C00187500,0.005479452054794521,0.0041400520463685826,0.01,1,187.5,0.01
22,O:AAPL231006C00190000,0.005479452054794521,0.006745139531807962,0.01,1,190.0,0.01
23,O:AAPL231006C00192500,0.005479452054794521,0.005314799672935405,0.01,1,192.5,0.01
24,O:AAPL231006C00195000,0.005479452054794521,0.003329633740288568,0.01,1,195.0,0.01
25,O:AAPL231006C00200000,0.005479452054794521,0.004165220409580007,0.01,1,200.0,0.01
26,O:AAPL231006C00205000,0.005479452054794521,0.01639344262295082,0.01,1,205.0,0.01
27,O:AAPL231006C00265000,0.005479452054794521,0.07692307692307693,0.01,1,265.0,0.01
28,O:AAPL231006P00140000,0.005479452054794521,0.0024057738572574178,0.01,1,140.0,0.01
