,ticker,maturity,Weight,price,days since last trade,strike,S
0,O:AAPL230818C00050000,0.0007420091324200913,0.13846153846153847,123.5333,1,50.0,122.05
1,O:AAPL230818C00095000,0.0007420091324200913,0.5,79.462,3,95.0,78.8
2,O:AAPL230818C00100000,0.0007420091324200913,0.06835443037974684,74.4556,1,100.0,74.0
3,O:AAPL230818C00110000,0.0007420091324200913,0.005608974358974359,64.3,2,110.0,64.3
4,O:AAPL230818C00115000,0.0007420091324200913,0.006787330316742082,59.75,3,115.0,59.75
5,O:AAPL230818C00120000,0.0007420091324200913,0.038580246913580245,54.1116,2,120.0,52.73
6,O:AAPL230818C00125000,0.0007420091324200913,0.029900332225913623,48.9222,2,125.0,47.7
7,O:AAPL230818C00130000,0.0007420091324200913,0.011510791366906475,44.2975,1,130.0,43.63
8,O:AAPL230818C00135000,0.0007420091324200913,0.12716763005780346,38.8632,3,135.0,37.8
9,O:AAPL230818C00140000,0.0007420091324200913,0.009074131036604122,34.5197,2,140.0,33.63
10,O:AAPL230818C00145000,0.0007420091324200913,0.13333333333333333,29.4329,1,145.0,27.1
11,O:AAPL230818C00150000,0.0007420091324200913,0.09966996699669967,23.8839,1,150.0,22.1
12,O:AAPL230818C00152500,0.0007420091324200913,0.45714285714285713,21.1269,1,152.5,19.6
13,O:AAPL230818C00155000,0.0007420091324200913,0.059345983044004846,18.5949,1,155.0,17.1
14,O:AAPL230818C00157500,0.0007420091324200913,0.09090909090909091,16.5598,1,157.5,15.6
15,O:AAPL230818C00160000,0.0007420091324200913,0.1956964892412231,13.9156,1,160.0,11.77
16,O:AAPL230818C00162500,0.0007420091324200913,0.010121457489878543,11.72,1,162.5,11.55
17,O:AAPL230818C00165000,0.0007420091324200913,0.39630390143737165,9.0745,1,165.0,7.4
18,O:AAPL230818C00167500,0.0007420091324200913,0.2077338129496403,5.88,1,167.5,5.7
19,O:AAPL230818C00170000,0.0007420091324200913,0.1483148131141519,3.5913,1,170.0,2.7
20,O:AAPL230818C00172500,0.0007420091324200913,0.6664075734927752,1.3165,1,172.5,0.61
21,O:AAPL230818C00175000,0.0007420091324200913,0.5667114023487874,0.094,1,175.0,0.05
22,O:AAPL230818C00177500,0.0007420091324200913,0.04510674594214897,0.014,1,177.5,0.01
23,O:AAPL230818C00180000,0.0007420091324200913,0.007425290804313138,0.0106,1,180.0,0.02
24,O:AAPL230818C00182500,0.0007420091324200913,0.009508456859312621,0.01,1,182.5,0.01
25,O:AAPL230818C00185000,0.0007420091324200913,0.007454445057979017,0.01,1,185.0,0.01
26,O:AAPL230818C00187500,0.0007420091324200913,0.001959719813032137,0.01,1,187.5,0.01
27,O:AAPL230818C00190000,0.0007420091324200913,0.0030800399720743044,0.01,1,190.0,0.01
28,O:AAPL230818C00192500,0.0007420091324200913,0.015240936506907063,0.01,1,192.5,0.01
29,O:AAPL230818C00195000,0.0007420091324200913,0.0012948040276021752,0.01,1,195.0,0.01
30,O:AAPL230818C00197500,0.0007420091324200913,0.001890359168241966,0.01,1,197.5,0.01
31,O:AAPL230818C00200000,0.0007420091324200913,0.0031542056074766356,0.01,1,200.0,0.01
32,O:AAPL230818C00202500,0.0007420091324200913,0.0006398976163813789,0.01,1,202.5,0.01
33,O:AAPL230818C00205000,0.0007420091324200913,0.0050977506832037,0.01,1,205.0,0.01
34,O:AAPL230818C00207500,0.0007420091324200913,0.00034193879295606086,0.01,1,207.5,0.01
35,O:AAPL230818C00210000,0.0007420091324200913,0.0064679415073115865,0.01,1,210.0,0.01
36,O:AAPL230818C00215000,0.0007420091324200913,0.0006622516556291391,0.01,1,215.0,0.01
37,O:AAPL230818C00220000,0.0007420091324200913,0.010044642857142858,0.01,1,220.0,0.01
38,O:AAPL230818C00285000,0.0007420091324200913,0.275,0.01,1,285.0,0.01
39,O:AAPL230818P00130000,0.0007420091324200913,0.0011655011655011655,0.01,1,130.0,0.01
40,O:AAPL230818P00135000,0.0007420091324200913,0.0012113870381586917,0.01,2,135.0,0.01
41,O:AAPL230818P00145000,0.0007420091324200913,0.01260659992584353,0.01,1,145.0,0.01
42,O:AAPL230818P00150000,0.0007420091324200913,0.006586305455449235,0.01,1,150.0,0.01
43,O:AAPL230818P00152500,0.0007420091324200913,0.007477906186267845,0.01,2,152.5,0.01
44,O:AAPL230818P00155000,0.0007420091324200913,0.006890215893431328,0.01,1,155.0,0.01
45,O:AAPL230818P00157500,0.0007420091324200913,0.003889734483341789,0.01,1,157.5,0.01
46,O:AAPL230818P00160000,0.0007420091324200913,0.00415487105815411,0.01,1,160.0,0.01
47,O:AAPL230818P00162500,0.0007420091324200913,0.14275431861804222,0.0103,1,162.5,0.03
48,O:AAPL230818P00165000,0.0007420091324200913,0.08923176933960461,0.0114,1,165.0,0.03
49,O:AAPL230818P00167500,0.0007420091324200913,0.13374549369525146,0.0156,1,167.5,0.06
50,O:AAPL230818P00170000,0.0007420091324200913,0.20753442532352895,0.059,1,170.0,0.18
51,O:AAPL230818P00172500,0.0007420091324200913,0.22529887055578754,0.2082,1,172.5,0.94
52,O:AAPL230818P00175000,0.0007420091324200913,0.08715776240704617,1.1208,1,175.0,3.0
53,O:AAPL230818P00177500,0.0007420091324200913,0.020648668384008438,3.5504,1,177.5,5.41
54,O:AAPL230818P00180000,0.0007420091324200913,0.031086534150351217,6.1713,1,180.0,7.8
55,O:AAPL230818P00182500,0.0007420091324200913,0.022640809130555814,8.5562,1,182.5,10.37
56,O:AAPL230818P00185000,0.0007420091324200913,0.010618153254877758,11.2876,1,185.0,12.9
57,O:AAPL230818P00187500,0.0007420091324200913,0.002051235299480354,13.6549,1,187.5,15.4
58,O:AAPL230818P00190000,0.0007420091324200913,0.0012569311634732195,16.1671,1,190.0,17.9
59,O:AAPL230818P00192500,0.0007420091324200913,0.004458376872169976,18.5108,1,192.5,20.4
60,O:AAPL230818P00195000,0.0007420091324200913,0.0022967343598899056,20.614,1,195.0,22.9
61,O:AAPL230818P00197500,0.0007420091324200913,0.0029787234042553193,22.9071,1,197.5,22.65
62,O:AAPL230818P00200000,0.0007420091324200913,0.0016024173610475231,26.4906,1,200.0,27.2
63,O:AAPL230818P00202500,0.0007420091324200913,0.011851851851851851,27.67,1,202.5,28.86
64,O:AAPL230818P00205000,0.0007420091324200913,0.022435897435897436,30.1,2,205.0,30.0
65,O:AAPL230818P00210000,0.0007420091324200913,0.0019801980198019802,35.625,1,210.0,36.0
66,O:AAPL230818P00220000,0.0007420091324200913,0.2,47.15,1,220.0,47.15
67,O:AAPL230825C00100000,0.019178082191780823,0.28901734104046245,72.75,1,100.0,72.75
68,O:AAPL230825C00140000,0.019178082191780823,0.140625,34.4983,1,140.0,34.38
69,O:AAPL230825C00148000,0.019178082191780823,0.08,26.75,1,148.0,26.75
70,O:AAPL230825C00149000,0.019178082191780823,0.12903225806451613,25.55,1,149.0,24.95
71,O:AAPL230825C00150000,0.019178082191780823,0.20906801007556675,24.4023,1,150.0,22.65
72,O:AAPL230825C00152500,0.019178082191780823,0.06007067137809187,22.2118,1,152.5,22.15
73,O:AAPL230825C00155000,0.019178082191780823,0.020895522388059702,19.7514,1,155.0,19.54
74,O:AAPL230825C00157500,0.019178082191780823,0.02729044834307992,16.5521,1,157.5,15.25
75,O:AAPL230825C00160000,0.019178082191780823,0.1442646023926812,14.1161,1,160.0,13.02
76,O:AAPL230825C00162500,0.019178082191780823,0.31092436974789917,11.7983,1,162.5,10.96
77,O:AAPL230825C00165000,0.019178082191780823,0.25145819831497085,9.5404,1,165.0,8.05
78,O:AAPL230825C00167500,0.019178082191780823,0.11993243243243243,7.0868,1,167.5,5.77
79,O:AAPL230825C00170000,0.019178082191780823,0.11505537264292127,4.6962,1,170.0,3.95
80,O:AAPL230825C00172500,0.019178082191780823,0.46956521739130436,2.8629,1,172.5,2.14
81,O:AAPL230825C00175000,0.019178082191780823,0.2488521164544094,1.6611,1,175.0,0.85
82,O:AAPL230825C00177500,0.019178082191780823,0.07057623314573308,0.7564,1,177.5,0.37
83,O:AAPL230825C00180000,0.019178082191780823,0.061767852278088224,0.3018,1,180.0,0.2
84,O:AAPL230825C00182500,0.019178082191780823,0.04316568678222195,0.1116,1,182.5,0.08
85,O:AAPL230825C00185000,0.019178082191780823,0.04584893941390149,0.0543,1,185.0,0.05
86,O:AAPL230825C00187500,0.019178082191780823,0.11102269471941942,0.0255,1,187.5,0.03
87,O:AAPL230825C00190000,0.019178082191780823,0.04402365734999523,0.018,1,190.0,0.02
88,O:AAPL230825C00192500,0.019178082191780823,0.024147727272727272,0.0171,1,192.5,0.02
89,O:AAPL230825C00195000,0.019178082191780823,0.0692483784814956,0.0105,1,195.0,0.01
90,O:AAPL230825C00197500,0.019178082191780823,0.0981941309255079,0.01,1,197.5,0.01
91,O:AAPL230825C00200000,0.019178082191780823,0.0786078607860786,0.01,1,200.0,0.01
92,O:AAPL230825C00205000,0.019178082191780823,0.02117863720073665,0.01,1,205.0,0.01
93,O:AAPL230825C00210000,0.019178082191780823,0.07073170731707316,0.0107,1,210.0,0.01
94,O:AAPL230825C00215000,0.019178082191780823,0.04020100502512563,0.01,1,215.0,0.01
95,O:AAPL230825C00220000,0.019178082191780823,0.020356234096692113,0.01,1,220.0,0.01
96,O:AAPL230825C00225000,0.019178082191780823,0.038910505836575876,0.01,3,225.0,0.01
97,O:AAPL230825P00120000,0.019178082191780823,0.049342105263157895,0.01,1,120.0,0.01
98,O:AAPL230825P00130000,0.019178082191780823,0.4166666666666667,0.01,1,130.0,0.01
99,O:AAPL230825P00135000,0.019178082191780823,0.3530239099859353,0.0101,1,135.0,0.02
100,O:AAPL230825P00140000,0.019178082191780823,0.29089301503094606,0.0197,1,140.0,0.02
101,O:AAPL230825P00145000,0.019178082191780823,0.41980624327233584,0.0228,1,145.0,0.04
102,O:AAPL230825P00147000,0.019178082191780823,0.2383480825958702,0.0305,1,147.0,0.04
103,O:AAPL230825P00148000,0.019178082191780823,0.6366366366366366,0.0306,1,148.0,0.04
104,O:AAPL230825P00149000,0.019178082191780823,0.0028060329708874078,0.0413,1,149.0,0.05
105,O:AAPL230825P00150000,0.019178082191780823,0.04616357504215852,0.0421,1,150.0,0.06
106,O:AAPL230825P00152500,0.019178082191780823,0.08879492600422834,0.0558,1,152.5,0.08
107,O:AAPL230825P00155000,0.019178082191780823,0.10661401776900296,0.0684,1,155.0,0.1
108,O:AAPL230825P00157500,0.019178082191780823,0.35976813024173654,0.098,1,157.5,0.11
109,O:AAPL230825P00160000,0.019178082191780823,0.2900878003696858,0.1249,1,160.0,0.15
110,O:AAPL230825P00162500,0.019178082191780823,0.190903267136451,0.1575,1,162.5,0.2
111,O:AAPL230825P00165000,0.019178082191780823,0.2530561548015951,0.2926,1,165.0,0.38
112,O:AAPL230825P00167500,0.019178082191780823,0.2230357645733596,0.45,1,167.5,0.68
113,O:AAPL230825P00170000,0.019178082191780823,0.13147627315185567,0.847,1,170.0,1.2
114,O:AAPL230825P00172500,0.019178082191780823,0.2478441203879927,1.5047,1,172.5,2.17
115,O:AAPL230825P00175000,0.019178082191780823,0.05374375594785381,2.5887,1,175.0,3.75
116,O:AAPL230825P00177500,0.019178082191780823,0.010972580415486606,4.122,1,177.5,5.63
117,O:AAPL230825P00180000,0.019178082191780823,0.020982494874625453,6.1339,1,180.0,8.07
118,O:AAPL230825P00182500,0.019178082191780823,0.011917183810203746,8.5535,1,182.5,9.73
119,O:AAPL230825P00185000,0.019178082191780823,0.036898839137645106,10.7881,1,185.0,12.0
120,O:AAPL230825P00187500,0.019178082191780823,0.10272134917592947,13.1674,1,187.5,14.73
121,O:AAPL230825P00190000,0.019178082191780823,0.028766455387615797,15.8595,1,190.0,17.23
122,O:AAPL230825P00192500,0.019178082191780823,0.028368794326241134,19.0875,2,192.5,21.4
123,O:AAPL230825P00195000,0.019178082191780823,0.07814441364809328,20.6773,1,195.0,22.33
124,O:AAPL230825P00197500,0.019178082191780823,0.02040816326530612,23.3,2,197.5,23.3
125,O:AAPL230825P00200000,0.019178082191780823,0.09987437185929648,25.7594,1,200.0,26.4
