,ticker,maturity,Weight,price,days since last trade,S
63,O:AAPL230428C00144000,0.0273972602739726,0.003875968992248062,22.55,1,144.0
64,O:AAPL230428C00145000,0.0273972602739726,0.016357688113413305,21.4507,1,145.0
65,O:AAPL230428C00146000,0.0273972602739726,0.005076142131979695,20.625,1,146.0
66,O:AAPL230428C00147000,0.0273972602739726,0.0066518847006651885,19.4567,1,147.0
67,O:AAPL230428C00148000,0.0273972602739726,0.007142857142857143,18.4133,1,148.0
68,O:AAPL230428C00150000,0.0273972602739726,0.0509433962264151,16.4824,1,150.0
69,O:AAPL230428C00152500,0.0273972602739726,0.17872086072922894,14.2358,1,152.5
70,O:AAPL230428C00155000,0.0273972602739726,0.016423357664233577,11.7049,1,155.0
71,O:AAPL230428C00157500,0.0273972602739726,0.07356948228882834,9.2007,1,157.5
72,O:AAPL230428C00160000,0.0273972602739726,0.014940026465189738,7.196,1,160.0
73,O:AAPL230428C00162500,0.0273972602739726,0.014330622478459521,5.0773,1,162.5
74,O:AAPL230428C00165000,0.0273972602739726,0.016201265526869464,3.2734,1,165.0
75,O:AAPL230428C00167500,0.0273972602739726,0.02918519148638066,1.8555,1,167.5
76,O:AAPL230428C00170000,0.0273972602739726,0.06131465596855583,0.8801,1,170.0
77,O:AAPL230428C00172500,0.0273972602739726,0.050149344403381764,0.3793,1,172.5
78,O:AAPL230428C00175000,0.0273972602739726,0.07793144670940083,0.1558,1,175.0
79,O:AAPL230428C00177500,0.0273972602739726,0.061837455830388695,0.0685,1,177.5
80,O:AAPL230428C00180000,0.0273972602739726,0.22087189207269484,0.0425,1,180.0
81,O:AAPL230428C00182500,0.0273972602739726,0.1443553362122147,0.0264,1,182.5
82,O:AAPL230428C00185000,0.0273972602739726,0.07194492254733219,0.02,1,185.0
83,O:AAPL230428C00187500,0.0273972602739726,0.06493506493506493,0.02,1,187.5
84,O:AAPL230428C00190000,0.0273972602739726,0.05319148936170213,0.01,1,190.0
85,O:AAPL230428C00192500,0.0273972602739726,0.015873015873015872,0.01,1,192.5
86,O:AAPL230428C00195000,0.0273972602739726,0.4389438943894389,0.01,1,195.0
87,O:AAPL230428P00125000,0.0273972602739726,0.026306798770071745,0.01,1,125.0
88,O:AAPL230428P00130000,0.0273972602739726,0.026637069922308545,0.0192,1,130.0
89,O:AAPL230428P00135000,0.0273972602739726,0.007717750826901874,0.0186,1,135.0
90,O:AAPL230428P00137000,0.0273972602739726,0.23076923076923078,0.02,1,137.0
91,O:AAPL230428P00139000,0.0273972602739726,0.03223270440251572,0.0217,1,139.0
92,O:AAPL230428P00140000,0.0273972602739726,0.29237668161434976,0.0202,1,140.0
93,O:AAPL230428P00141000,0.0273972602739726,0.011372251705837756,0.0233,1,141.0
94,O:AAPL230428P00142000,0.0273972602739726,0.01644736842105263,0.032,1,142.0
95,O:AAPL230428P00143000,0.0273972602739726,0.006756756756756757,0.035,1,143.0
96,O:AAPL230428P00144000,0.0273972602739726,0.02261513157894737,0.0391,1,144.0
97,O:AAPL230428P00145000,0.0273972602739726,0.023222477064220183,0.0394,1,145.0
98,O:AAPL230428P00146000,0.0273972602739726,0.045359385903698535,0.0498,1,146.0
99,O:AAPL230428P00147000,0.0273972602739726,0.00821917808219178,0.0557,1,147.0
100,O:AAPL230428P00148000,0.0273972602739726,0.18862275449101795,0.0601,1,148.0
101,O:AAPL230428P00149000,0.0273972602739726,0.09855453350854139,0.0698,1,149.0
102,O:AAPL230428P00150000,0.0273972602739726,0.049515725323756664,0.0783,1,150.0
103,O:AAPL230428P00152500,0.0273972602739726,0.02440973930152484,0.1134,1,152.5
104,O:AAPL230428P00155000,0.0273972602739726,0.09317247940408477,0.1749,1,155.0
105,O:AAPL230428P00157500,0.0273972602739726,0.04500071113639596,0.298,1,157.5
106,O:AAPL230428P00160000,0.0273972602739726,0.04505955073119252,0.5332,1,160.0
107,O:AAPL230428P00162500,0.0273972602739726,0.026204811046644017,0.935,1,162.5
108,O:AAPL230428P00165000,0.0273972602739726,0.02556884158533615,1.6421,1,165.0
109,O:AAPL230428P00167500,0.0273972602739726,0.026539436409721187,2.6929,1,167.5
110,O:AAPL230428P00170000,0.0273972602739726,0.042426361010431804,4.3512,1,170.0
111,O:AAPL230428P00172500,0.0273972602739726,0.026522879626930923,6.2053,1,172.5
112,O:AAPL230428P00175000,0.0273972602739726,0.002533569799847986,8.242,1,175.0
113,O:AAPL230428P00177500,0.0273972602739726,0.01056338028169014,12.2,1,177.5
114,O:AAPL230428P00180000,0.0273972602739726,0.01818181818181818,13.365,1,180.0
