,ticker,maturity,Weight,price,days since last trade,strike,S
0,O:AAPL230421C00050000,0.0007420091324200913,0.6046511627906976,115.0135,1,50.0,114.95
1,O:AAPL230421C00060000,0.0007420091324200913,0.8529411764705882,104.9707,1,60.0,106.0
2,O:AAPL230421C00070000,0.0007420091324200913,0.6666666666666666,95.68,3,70.0,95.68
3,O:AAPL230421C00095000,0.0007420091324200913,0.48717948717948717,70.2747,1,95.0,70.65
4,O:AAPL230421C00100000,0.0007420091324200913,0.19877675840978593,65.8545,1,100.0,66.1
5,O:AAPL230421C00105000,0.0007420091324200913,0.1111111111111111,60.01,1,105.0,60.0
6,O:AAPL230421C00110000,0.0007420091324200913,0.0887218045112782,55.0827,1,110.0,54.9
7,O:AAPL230421C00115000,0.0007420091324200913,0.28936170212765955,50.3109,1,115.0,50.83
8,O:AAPL230421C00120000,0.0007420091324200913,0.26542491268917345,45.1461,1,120.0,45.4
9,O:AAPL230421C00125000,0.0007420091324200913,0.02,39.851,1,125.0,39.95
10,O:AAPL230421C00130000,0.0007420091324200913,0.10985626283367557,35.1107,1,130.0,35.08
11,O:AAPL230421C00135000,0.0007420091324200913,0.08634686346863468,30.0231,1,135.0,30.35
12,O:AAPL230421C00137000,0.0007420091324200913,0.029411764705882353,28.0,1,137.0,28.0
13,O:AAPL230421C00138000,0.0007420091324200913,0.4074074074074074,27.0264,1,138.0,27.46
14,O:AAPL230421C00140000,0.0007420091324200913,0.25093457943925235,25.1675,1,140.0,25.0
15,O:AAPL230421C00142000,0.0007420091324200913,0.47470817120622566,23.3095,1,142.0,23.55
16,O:AAPL230421C00143000,0.0007420091324200913,0.12690355329949238,22.4796,1,143.0,22.8
17,O:AAPL230421C00144000,0.0007420091324200913,0.1585014409221902,21.2364,1,144.0,21.85
18,O:AAPL230421C00145000,0.0007420091324200913,0.15101687581133708,20.0093,1,145.0,20.22
19,O:AAPL230421C00146000,0.0007420091324200913,0.15734265734265734,19.1446,1,146.0,19.75
20,O:AAPL230421C00147000,0.0007420091324200913,0.08672086720867209,18.0678,1,147.0,18.6
21,O:AAPL230421C00148000,0.0007420091324200913,0.23731587561374795,17.168,1,148.0,17.9
